data,ano,mes,dia,dia_da_semana,nome_mes,dia_da_semana_num,fim_de_semana,data_chave
2023-08-05,2023,8,5,Sábado,Agosto,5,True,20230805
2023-08-06,2023,8,6,Domingo,Agosto,6,True,20230806
2023-08-07,2023,8,7,Segunda-feira,Agosto,0,False,20230807
2023-08-08,2023,8,8,Terça-feira,Agosto,1,False,20230808
2023-08-09,2023,8,9,Quarta-feira,Agosto,2,False,20230809
2023-08-10,2023,8,10,Quinta-feira,Agosto,3,False,20230810
2023-08-11,2023,8,11,Sexta-feira,Agosto,4,False,20230811
2023-08-12,2023,8,12,Sábado,Agosto,5,True,20230812
2023-08-13,2023,8,13,Domingo,Agosto,6,True,20230813
2023-08-14,2023,8,14,Segunda-feira,Agosto,0,False,20230814
2023-08-15,2023,8,15,Terça-feira,Agosto,1,False,20230815
2023-08-16,2023,8,16,Quarta-feira,Agosto,2,False,20230816
2023-08-17,2023,8,17,Quinta-feira,Agosto,3,False,20230817
2023-08-18,2023,8,18,Sexta-feira,Agosto,4,False,20230818
2023-08-19,2023,8,19,Sábado,Agosto,5,True,20230819
2023-08-20,2023,8,20,Domingo,Agosto,6,True,20230820
2023-08-21,2023,8,21,Segunda-feira,Agosto,0,False,20230821
2023-08-22,2023,8,22,Terça-feira,Agosto,1,False,20230822
2023-08-23,2023,8,23,Quarta-feira,Agosto,2,False,20230823
2023-08-24,2023,8,24,Quinta-feira,Agosto,3,False,20230824
2023-08-25,2023,8,25,Sexta-feira,Agosto,4,False,20230825
2023-08-26,2023,8,26,Sábado,Agosto,5,True,20230826
2023-08-27,2023,8,27,Domingo,Agosto,6,True,20230827
2023-08-28,2023,8,28,Segunda-feira,Agosto,0,False,20230828
2023-08-29,2023,8,29,Terça-feira,Agosto,1,False,20230829
2023-08-30,2023,8,30,Quarta-feira,Agosto,2,False,20230830
2023-08-31,2023,8,31,Quinta-feira,Agosto,3,False,20230831
2023-09-01,2023,9,1,Sexta-feira,Setembro,4,False,20230901
2023-09-02,2023,9,2,Sábado,Setembro,5,True,20230902
2023-09-03,2023,9,3,Domingo,Setembro,6,True,20230903
2023-09-04,2023,9,4,Segunda-feira,Setembro,0,False,20230904
2023-09-05,2023,9,5,Terça-feira,Setembro,1,False,20230905
2023-09-06,2023,9,6,Quarta-feira,Setembro,2,False,20230906
2023-09-07,2023,9,7,Quinta-feira,Setembro,3,False,20230907
2023-09-08,2023,9,8,Sexta-feira,Setembro,4,False,20230908
2023-09-09,2023,9,9,Sábado,Setembro,5,True,20230909
2023-09-10,2023,9,10,Domingo,Setembro,6,True,20230910
2023-09-11,2023,9,11,Segunda-feira,Setembro,0,False,20230911
2023-09-12,2023,9,12,Terça-feira,Setembro,1,False,20230912
2023-09-13,2023,9,13,Quarta-feira,Setembro,2,False,20230913
2023-09-14,2023,9,14,Quinta-feira,Setembro,3,False,20230914
2023-09-15,2023,9,15,Sexta-feira,Setembro,4,False,20230915
2023-09-16,2023,9,16,Sábado,Setembro,5,True,20230916
2023-09-17,2023,9,17,Domingo,Setembro,6,True,20230917
2023-09-18,2023,9,18,Segunda-feira,Setembro,0,False,20230918
2023-09-19,2023,9,19,Terça-feira,Setembro,1,False,20230919
2023-09-20,2023,9,20,Quarta-feira,Setembro,2,False,20230920
2023-09-21,2023,9,21,Quinta-feira,Setembro,3,False,20230921
2023-09-22,2023,9,22,Sexta-feira,Setembro,4,False,20230922
2023-09-23,2023,9,23,Sábado,Setembro,5,True,20230923
2023-09-24,2023,9,24,Domingo,Setembro,6,True,20230924
2023-09-25,2023,9,25,Segunda-feira,Setembro,0,False,20230925
2023-09-26,2023,9,26,Terça-feira,Setembro,1,False,20230926
2023-09-27,2023,9,27,Quarta-feira,Setembro,2,False,20230927
2023-09-28,2023,9,28,Quinta-feira,Setembro,3,False,20230928
2023-09-29,2023,9,29,Sexta-feira,Setembro,4,False,20230929
2023-09-30,2023,9,30,Sábado,Setembro,5,True,20230930
2023-10-01,2023,10,1,Domingo,Outubro,6,True,20231001
2023-10-02,2023,10,2,Segunda-feira,Outubro,0,False,20231002
2023-10-03,2023,10,3,Terça-feira,Outubro,1,False,20231003
2023-10-04,2023,10,4,Quarta-feira,Outubro,2,False,20231004
2023-10-05,2023,10,5,Quinta-feira,Outubro,3,False,20231005
2023-10-06,2023,10,6,Sexta-feira,Outubro,4,False,20231006
2023-10-07,2023,10,7,Sábado,Outubro,5,True,20231007
2023-10-08,2023,10,8,Domingo,Outubro,6,True,20231008
2023-10-09,2023,10,9,Segunda-feira,Outubro,0,False,20231009
2023-10-10,2023,10,10,Terça-feira,Outubro,1,False,20231010
2023-10-11,2023,10,11,Quarta-feira,Outubro,2,False,20231011
2023-10-12,2023,10,12,Quinta-feira,Outubro,3,False,20231012
2023-10-13,2023,10,13,Sexta-feira,Outubro,4,False,20231013
2023-10-14,2023,10,14,Sábado,Outubro,5,True,20231014
2023-10-15,2023,10,15,Domingo,Outubro,6,True,20231015
2023-10-16,2023,10,16,Segunda-feira,Outubro,0,False,20231016
2023-10-17,2023,10,17,Terça-feira,Outubro,1,False,20231017
2023-10-18,2023,10,18,Quarta-feira,Outubro,2,False,20231018
